identifier;location;series;inscription;original
KN Ak 7030+;KN;Ak;(me)-wi-jo-e , ;]ja MUL 1[ ](me)-wi-jo-e 2[
KN Ak 7031;KN;Ak;;]MUL 1
KN Ak 7827;KN;Ak;(jo)-jo , ;](jo)-jo MUL 50[
KN Ak 7830;KN;Ak;;]ja MUL 23 [
KN Ak 8218+;KN;Ak;ko-wa , ko-[ , ;.A sup. mut. .B ] ko-wa[ .C ] ko-[
KN Ak 8334+;KN;Ak;ko-wa , (u)-(jo)-e , ko-(wo) , ;sup. mut. ] (MUL) (20)[ ] ko-wa / [ ](u)-(jo)-e 14 ko-(wo)[
KN Ak 8337;KN;Ak;ko-wo , ;sup. mut. ]ko-wo[
KN Ak 8338;KN;Ak;;]1 ko[ inf. mut.
KN Ak 8341;KN;Ak;;sup. mut. ]ne di[
KN Ak 8444;KN;Ak;;](ja) (MUL)[ inf. mut.
KN Ak 8622+;KN;Ak;wa-ko , ;.A ] DA[ .B ](ja) /[ ]wa-ko[ .C inf. mut.
KN Ak 8726;KN;Ak;;sup. mut. ](me)[ inf. mut.
KN Ak 8795;KN;Ak;;](de)[ inf. mut.
KN Ak 9001+;KN;Ak;zo-e , ;] za 'di' MUL 1[ ]zo-e 9 [ ](9) [
KN Ak 9002;KN;Ak;me-zo-e , ;sup. mut. ] me-zo-e[ inf. mut.
KN Ak 9173+;KN;Ak;we-si-(jo) , ko-wa , ko-wo , ;]we-si-(jo)[ ]ko-wa , [ ] ko-wo , [
KN Ak 9407;KN;Ak;(ko)-wa , ko-(wo) , ;sup. mut. ] (ko)-wa , [ ] ko-(wo)[ inf. mut.
KN Ak 9409;KN;Ak;(me)-zo , ;sup. mut. ](me)-zo[ inf. mut.
KN Ak 9410;KN;Ak;(u)-(jo)-(e) , ;](u)-(jo)-(e) 2
KN Ak 9417;KN;Ak;;] (MUL) (4)0[ ](1)[ inf. mut.
KN Ak 9485;KN;Ak;(me)-u-jo , ;](1) [ ](me)-u-jo[ inf. mut.
KN Ak 9499;KN;Ak;;] (MUL)[ inf. mut.
KN Ak 9500;KN;Ak;;](MUL) (1)[ inf. mut.
KN Ak 9522;KN;Ak;(u)-(jo)-(e) , (u)-(jo) , ;sup. mut. ](u)-(jo)-(e)[ ](u)-(jo)[ inf. mut.
KN Am 568;KN;Am;to-so , da-wi-jo , ;.a to-so [ .b da-wi-jo / VIR[
KN Am 597;KN;Am;(i)-ta , ;.a ](i)-ta2 [ .b ] LUNA 1 VIR 4[ .c ](1)[
KN Am 600+;KN;Am;to-so , e-te , e-so-to , a-mo-ra-ma , ko-no-si-jo , ;.a to-so , e-te , e-so-to , a-mo-ra-ma .b ko-no-si-jo , / VIR 25
KN Am 601;KN;Am;e-te , e-so-to , a-mo-ra-ma , to-so , a-mi-ni-si-jo , ;.a e-te , e-so-to , a-mo-ra-ma .b to-so , / a-mi-ni-si-jo , VIR 9
KN Am 819;KN;Am;we-ke-i-ja , ko-wo , (qa)-ra , si-to , ;.A ] we-ke-i-ja VIR 18 'ko-wo' 8 .B ](qa)-ra / si-to LUNA 1 HORD 9 T 7 V 3
KN Am 821;KN;Am;ra-jo , e-qe-ta-e , e-ne-ka , (e)-mi-to , ki-ta-ne-to , su-ri-mo , e-ne-ka , o-pa , ;]ra-jo , / e-qe-ta-e , e-ne-ka , (e)-mi-to VIR 2 // ki-ta-ne-to , / su-ri-mo , e-ne-ka , o-pa VIR (1)
KN Am 826;KN;Am;a-pa-ta-wa-jo , te-re-ta , ;a-pa-ta-wa-jo te-re-ta VIR 4(5)
KN Am 827+;KN;Am;si-mi-te-u , a-wa-ti-ka-ra , ko-wo , ;si-mi-te-u VIR 1 a-wa-ti-ka-ra MUL 1 [ ko-wo 1 [
KN Am 2009;KN;Am;;]jo VIR 2[
KN Am 5755;KN;Am;se-to-i-(ja) , ;]8 VIR 4 se-to-i-(ja)[ ]e 2 [
KN Am 5882+;KN;Am;]-so , ka-ma-jo , ;]-so / ka-ma-jo , VIR 16[
KN Am 568;KN;Am;to-so , da-wi-jo , ;.a to-so [ .b da-wi-jo / VIR[
KN Am 597;KN;Am;(i)-ta , ;.a ](i)-ta2 [ .b ] LUNA 1 VIR 4[ .c ](1)[
KN Am 600+;KN;Am;to-so , e-te , e-so-to , a-mo-ra-ma , ko-no-si-jo , ;.a to-so , e-te , e-so-to , a-mo-ra-ma .b ko-no-si-jo , / VIR 25
KN Am 601;KN;Am;e-te , e-so-to , a-mo-ra-ma , to-so , a-mi-ni-si-jo , ;.a e-te , e-so-to , a-mo-ra-ma .b to-so , / a-mi-ni-si-jo , VIR 9
KN Am 819;KN;Am;we-ke-i-ja , ko-wo , (qa)-ra , si-to , ;.A ] we-ke-i-ja VIR 18 'ko-wo' 8 .B ](qa)-ra / si-to LUNA 1 HORD 9 T 7 V 3
KN Am 821;KN;Am;ra-jo , e-qe-ta-e , e-ne-ka , (e)-mi-to , ki-ta-ne-to , su-ri-mo , e-ne-ka , o-pa , ;]ra-jo , / e-qe-ta-e , e-ne-ka , (e)-mi-to VIR 2 // ki-ta-ne-to , / su-ri-mo , e-ne-ka , o-pa VIR (1)
KN Am 826;KN;Am;a-pa-ta-wa-jo , te-re-ta , ;a-pa-ta-wa-jo te-re-ta VIR 4(5)
KN Am 827+;KN;Am;si-mi-te-u , a-wa-ti-ka-ra , ko-wo , ;si-mi-te-u VIR 1 a-wa-ti-ka-ra MUL 1 [ ko-wo 1 [
KN Am 2009;KN;Am;;]jo VIR 2[
KN Am 5755;KN;Am;se-to-i-(ja) , ;]8 VIR 4 se-to-i-(ja)[ ]e 2 [
KN Am 5882+;KN;Am;]-so , ka-ma-jo , ;]-so / ka-ma-jo , VIR 16[
KN Am 568;KN;Am;to-so , da-wi-jo , ;.a to-so [ .b da-wi-jo / VIR[
KN Am 597;KN;Am;(i)-ta , ;.a ](i)-ta2 [ .b ] LUNA 1 VIR 4[ .c ](1)[
KN Am 600+;KN;Am;to-so , e-te , e-so-to , a-mo-ra-ma , ko-no-si-jo , ;.a to-so , e-te , e-so-to , a-mo-ra-ma .b ko-no-si-jo , / VIR 25
KN Am 601;KN;Am;e-te , e-so-to , a-mo-ra-ma , to-so , a-mi-ni-si-jo , ;.a e-te , e-so-to , a-mo-ra-ma .b to-so , / a-mi-ni-si-jo , VIR 9
KN Am 819;KN;Am;we-ke-i-ja , ko-wo , (qa)-ra , si-to , ;.A ] we-ke-i-ja VIR 18 'ko-wo' 8 .B ](qa)-ra / si-to LUNA 1 HORD 9 T 7 V 3
KN Am 821;KN;Am;ra-jo , e-qe-ta-e , e-ne-ka , (e)-mi-to , ki-ta-ne-to , su-ri-mo , e-ne-ka , o-pa , ;]ra-jo , / e-qe-ta-e , e-ne-ka , (e)-mi-to VIR 2 // ki-ta-ne-to , / su-ri-mo , e-ne-ka , o-pa VIR (1)
KN Am 826;KN;Am;a-pa-ta-wa-jo , te-re-ta , ;a-pa-ta-wa-jo te-re-ta VIR 4(5)
KN Am 827+;KN;Am;si-mi-te-u , a-wa-ti-ka-ra , ko-wo , ;si-mi-te-u VIR 1 a-wa-ti-ka-ra MUL 1 [ ko-wo 1 [
KN Am 2009;KN;Am;;]jo VIR 2[
KN Am 5755;KN;Am;se-to-i-(ja) , ;]8 VIR 4 se-to-i-(ja)[ ]e 2 [
KN Am 5882+;KN;Am;]-so , ka-ma-jo , ;]-so / ka-ma-jo , VIR 16[
KN Ap 618+;KN;Ap;a-pe-a-sa , i-ta-mo , do-ti-ja , ki-nu-qa , *56-ko-we , (ti)-wa-ti-ja , a-*79 , a-no-qo-ta , ko-ma-we-to , we-ra-te-ja , ;a-pe-a-sa / i-ta-mo , do-ti-ja , MUL 1 ki-nu-qa *56-ko-we MUL 1 [ (ti)-wa-ti-ja / a-*79 a-no-qo-ta MUL 3[ ] ko-ma-we-to MUL 2 we-ra-te-ja MUL 2 [
KN Ap 628+;KN;Ap;(i)-ja , a-ke-wo , do-e-ra , do-e-ra , di-qa-ra , ne-o , do-e-ra , ;.1A vacat [ .1B ](i)-ja , / a-ke-wo do-e-ra MUL 4 [ [ ko ] ] [ .2 ]ro , / do-e-ra (MUL) 1 di-qa-ra[ .3 ]ne-o , / do-e-ra (MUL)[
KN Ap 629;KN;Ap;tu-ni-ja , ri-jo-no , ko-wo , do-ti-ja , ;tu-ni-ja 'tu' MUL 4 ne 'di' 3 'ko 1' ri-jo-no 'tu' MUL 3 ko-wo 3[ do-ti-ja 'tu' MUL 4 ne 'di' 6[ ] vacat [ vacat [
KN Ap 637;KN;Ap;(a)-ke-si-ja , ka-(ma) , ko-so-jo , (da)-[ , ;(a)-ke-si-ja , ka-(ma)[ ko-so-jo , MUL 1 tu 2[ (da)-[
