identifier;inscription;numberOfCharacters
KN Do 919+;wi-da-ma-ro , ;1
KN Do 923;to-wi-no , ;1
KN Do 924+;tu-da-ra , ;1
KN Do 927;;1
KN Do 929;;1
KN Do 996+;da-i-mi-so , ;1
KN Do 1054;se-to-i-ja , ko-te-u , ka-to-ro , ;3
KN Do 5010+;(wo)-(ro)-(to) , ;1
KN Do 5720;;1
KN Do 5740;;1
KN Do 5770;;1
KN Do 7079;;1
KN Do 7087;i-ja , ;1
KN Do 7093+;;1
KN Do 7120;;1
KN Do 7239;;1
KN Do 7613;se-to-(i) , a-di-ri-jo , ka-to-(ro) , ;3
KN Do 7740;se-to-i-(ja) , ]-ta , ka-to-(ro) , ;3
KN Do 9668;;1
KN Do 9761;;1
KN Do 9793;(da)-u-(ta) , ;1
KN Dp 43;ta-re-wo , ;1
KN Dp 699;ku-su-pa-ta , ;1
KN Dp 937+;;1
KN Dp 997+;po-ti-ni-ja-we-ja , to-sa , ne-wa , po-ka , ;4
KN Dp 1061;pa-i-ti-ja , ;1
KN Dp 2004;]-jo , ;1
KN Dp 5508;ko-no-si , ;1
KN Dp 7135;;1
KN Dp 7280;;1
KN Dp 7742;po-ka , po-ti-ni-ja-we-i-jo , ;2
KN Dq 42;pe-ri-qo-ta-o , ma-sa , ;2
KN Dq 45;a-(no)-qo-ta-o , e-ra , ;2
KN Dq 46;pe-ri-qo-ta-o , sa-no , e-ko-so , ;3
KN Dq 438;se-(to)-(i)-(ja) , to-i-ja , ka-to-ro , ;3
KN Dq 439+;da-*22-to , i-ti-nu-(ri) , o-re-te-wo , ;3
KN Dq 440;e-ra , ka-mo , a-no-qo-ta , ;3
KN Dq 441;da-*22 , qo-si-jo , o-re , ;3
KN Dq 442+;ke-u-po-da-o , ku-ta-to , ;2
KN Dq 445;ko-we-jo , (da)-*22-to , ;2
KN Dq 447;da-mi-ni-jo , ]-ta-wo , ;2
KN Dq 448;u-ta-no , ni-to , ;2
KN Dq 449;]-jo , ;1
KN Dq 672;;1
KN Dq 686;se-to-i-ja , te-ki-ri-ne-to , ka-to-ro , ;3
KN Dq 1026+;wi-jo-qo-ta-o , ;1
KN Dq 1234+;ro-ru , ti-ri-to , ;2
KN Dq 1377;pa-[ , ]-(na) , ti-ri-to , ;3
KN Dq 1603+;ti-ri-to , ;1
KN Dq 1803;ni-jo , ;1
KN Dq 5595+;(ti)-(ri)-to , ;1
KN Dq 7113;;1
KN Dq 7119;ta-o , ;1
KN Dq 7126;ko-ta-o , i-to , ;2
KN Dq 7137;ta-o , ]-to , ;2
KN Dq 7177+;ti-ri-to , ;1
KN Dq 7260;;1
KN Dq 7852;wi-jo-qo , pa-i-to , ;2
KN Dq 8208;;1
KN Dq 8351;pe-ri-qo , qa-(sa) , ;2
KN Dv 1085;a-ka-(i)-jo , ki-mu-ko , pa-i-to , ;3
KN Dv 1086;da-*83-ja , a-ka-ta-jo , ;2
KN Dv 1100+;;1
KN Dv 1103;au-ri-jo , su-ri-mo , ;2
KN Dv 1104;da-to-ro , su-ri-mo , ;2
KN Dv 1111;ri-wi-so , ku-ta-to , ;2
KN Dv 1113+;da-mi-ni-jo , ka-ta-wo , ku-ta-to , ;3
KN Dv 1124;ku-ta-to , ;1
KN Dv 1125+;e-qa-ro , ku-ta-to , ;2
KN Dv 1128+;ka-da-no , ku-ta-to , ;2
KN Dv 1133;u-ta , a-ke-u , e-ko-so , ;3
KN Dv 1139+;(u)-ta-jo-jo , a3-ke-ta , da-*22-to , ;3
KN Dv 1142;u-ta-jo-jo , ]-jo-ko , e-ko-so , ;3
KN Dv 1145;u-ta-jo-jo , da-wo , ;2
KN Dv 1146+;u-ta-jo-jo , ]-mo-ni-ja-ro , da-wo , ;3
KN Dv 1169;we-we-si-jo , ka-to , da-ra-ko , ;3
KN Dv 1188+;sa-ma-ri-wa-ta , ra-to , ;2
KN Dv 1190+;a3-ke-wa-to , ra-to , ;2
KN Dv 1191;*56-du-nu-ka , ra-to , ;2
KN Dv 1199+;u-ra-jo , ra-su-to , ;2
KN Dv 1205+;wi-ra-ne-to , ri-jo-no , ;2
KN Dv 1206;e-u-na-wo , ri-jo-no , ;2
KN Dv 1213;]-so , u-ta-no , ;2
KN Dv 1214+;mo-re , u-ta-no , ;2
KN Dv 1215;u-ta-no , ;1
KN Dv 1216;*22-ri-ta-ro , u-ta-no , ;2
KN Dv 1217+;u-ta-no , ;1
KN Dv 1226+;a-ze-o , *56-ko-we , ;2
KN Dv 1237;ku-ta-si-jo , ti-ri-(to) , ;2
KN Dv 1239;*34-so , da-*22-to , do-ti , ti-ri-to , ;4
KN Dv 1248;ki-ri-ne-to , tu-ni-ja , ;2
KN Dv 1249;ra-o-no , tu-ni-ja , ;2
KN Dv 1266;wi-je-mo , qa-(ra) , ;2
KN Dv 1272+;ko-ma-we-to , a-ti-ro , e-ko-so , ;3
KN Dv 1292+;mi-ta-qo , ru-ki-to , ;2
KN Dv 1308+;te-ru-sa , do-ti-ja , ;2
KN Dv 1309;a-te-jo , wo-no , do-ti-ja , ;3
KN Dv 1310;ko-ru-to , da-wo , ;2
KN Dv 1312;su-ru-so , da-wo , ;2
KN Dv 1328;(*49)-so , ku-ta-to , ;2
KN Dv 1330+;wi-na-jo , e-ra , u-ta-jo , ;3
KN Dv 1331;a-ka-ta-(jo) , mu-da , ;2
KN Dv 1332;e-ra , ta-we-si-jo , pe-ri-qo-te , ;3
KN Dv 1334+;ki-ri-jo-te , pe-ri-qo-te-jo , ;2
KN Dv 1370+;u-ta-jo , tu-*56-da-ro , e-(ra) , ;3
KN Dv 1386+;a-te , ti-ri-to , ;2
KN Dv 1388;e-u-me-ta , ra-ja , pe-ri-qo-te-jo , ;3
KN Dv 1410+;ta-na-po-so , pu-so , ;2
KN Dv 1411;ri-ja-ta , ;1
KN Dv 1412;ri-di-ne-to , ;1
KN Dv;po-ro-ko , ;1
KN Dv 1417+;po-to , ru-ki-(to) , u-ta-jo , ;3
KN Dv 1422;*56-ro2 , ;1
KN Dv 1427;pe-ri , ke-me-u , ;2
KN Dv 1430+;we-we-si-jo , do-ro , da-ra-ko , ;3
KN Dv 1434+;o-pa-we-[ , me-ki-ti , ma-no-we , ;3
KN Dv 1436;ki-sa , ;1
KN Dv 1439;te-(ro) , ru-na-so , ;2
KN Dv 1442;ru-na-so , ;1
KN Dv 1447+;i-je-ro , e-ko-so , ;2
KN Dv 1450+;ka-sa-ro , ;1
KN Dv 1457;ra-ne-to , ;1
KN Dv 1459;ra-wo , ;1
KN Dv 1462+;a-wo-i-jo , ri-jo-no , ;2
KN Dv 1466;a-ze-ta , e-(ra) , ;2
KN Dv 1470;a-ti-(jo) , ;1
KN Dv 1471+;a-na-ki-ti , ra-(to) , ;2
KN Dv 1479+;to-u-na-ta , (do)-(ti)-[ , ;2
KN Dv 1487;ko-no-si-ja , ;1
KN Dv 1490;qa-si-da-ro , ku-(ta) , ;2
KN Dv 1492+;wo-*65-(ro) , ru-ki-(to) , ;2
KN Dv 1493+;(o)-ta , qa-na-no-to , ;2
KN Dv 1496+;da-(mi)-(ni)-jo , i-ke-se-ra , ku-ta-to , ;3
KN Dv 1500+;qi-ja-zo , ;1
KN Dv 1501;di-*79-nu , ;1
KN Dv 1502+;di-ki-nu-wo , ra-(su) , ;2
KN Dv 1503+;da-*22-to , di-wo , u-ta-jo-jo , ;3
KN Dv 1504;di-de-ro , ;1
KN Dv 1505;di-za-so , ;1
KN Dv 1506;di-za , ;1
KN Dv 1509+;we-we-si-jo-jo , o-ki-ro , pa-i-to , ;3
KN Dv 1601+;we-wa-do-ro , qa-ra , ;2
KN Dv 1607+;we-we-si-jo , ti-ro , pa-i-to , ;3
KN Dv 1621+;pe-ko , tu-ti , ;2
KN Dv 2019+;de-we-ra , ra-to , ;2
KN Dv 5049;po-ro-[ , ;1
KN Dv 5054+;sa-ma-ja-(so) , tu-ni-ja , ;2
KN Dv 5075;we-we-si-jo , pa-i-to , ;2
KN Dv 5200+;ta-so , su-ri , ;2
KN Dv 5203;(ki)-sa-qo , ;1
KN Dv 5209+;]-jo , pu-so , ;2
KN Dv 5219+;ta-za , su-ri-mo , ;2
KN Dv 5224;a-pa-ni-jo , ;1
KN Dv 5232+;a-*56-no , su-ki-ri-ta , ;2
KN Dv 5235+;ku-ta-to , ;1
KN Dv 5236+;]-(jo) , ra-to , ;2
KN Dv 5241+;a-pi-je-(ta) , ;1
KN Dv 5253+;pu-so , ;1
KN Dv 5256+;a-ka-to , ra-to , ;2
KN Dv 5258+;(pu)-so , ;1
KN Dv 5259;ru-ki-to , ;1
KN Dv 5271;;1
KN Dv 5278+;]-ma-we , qa-(mo) , ;2
KN Dv 5285;qa-ra-(i)-(so) , ;1
KN Dv 5287;ka-to , ;1
KN Dv 5291+;ri-ro , su-ri-mo , ;2
KN Dv 5296+;u-ta-jo-jo , (ru)-*18 , e-ko-so , ;3
KN Dv 5297;ti-jo , qa-mo , ;2
KN Dv 5301+;sa-zo , da-wo , ;2
KN Dv 5302;wo-ti-jo , ku-ta-(to) , ;2
KN Dv 5312+;wo-jo , e-ko-so , ;2
KN Dv 5315;pu-so , ;1
KN Dv 5322+;;1
KN Dv 5328+;]-ro , ku-ta-to , ;2
KN Dv 5335;ku-ta-to , ;1
KN Dv 5341;]-(ke)-[ , ;1
KN Dv 5343;;1
KN Dv 5349;pu-so , ;1
KN Dv 5350;su-ri-mo , ;1
KN Dv 5357;u-ra-(jo) , ra-su-to , ;2
KN Dv 5368+;;1
KN Dv 5372+;;1
KN Dv 5398+;ku-ta-to , ;1
KN Dv 5407+;;1
KN Dv 5412+;;1
KN Dv 5414;;1
KN Dv 5416;;1
KN Dv 5580;;1
KN Dv 5593;;1
KN Dv 5640;;1
KN Dv 5663;si-pa-ta-do , ;1
KN Dv 5667;u-ta-jo-jo , tu-ni-ja , ;2
KN Dv 5675;;1
KN Dv 5689;ma-jo , ;1
KN Dv 5690;du-ni-[ , ;1
KN Dv 5694;si-ri-pi-jo , ru-ki-to , ;2
KN Dv 5696+;(pu)-ri , e-(ra) , u-ta-jo-(jo) , ;3
KN Dv 5704+;ri-pa-[ , ra-ja , ;2
KN Dv 5775;di-ki , ;1
KN Dv 5839;;1
KN Dv 5841+;(pe)-ri-mo , da-wo , ;2
KN Dv 5843+;da-wo , ;1
KN Dv 5934;u-ta-jo , ;1
KN Dv 5989+;we-we-si-jo , je-zo , da-ra-ko , ;3
KN Dv 6018+;na-ro , tu-(ni) , ;2
KN Dv 6022;(no)-to , ;1
KN Dv 6045;pu-ma-[ , ;1
KN Dv 6054+;(ri)-(jo)-(no) , ;1
KN Dv 6056;pu-so , ;1
KN Dv 6059+;no-sa-ro , e-ko , ;2
KN Dv 7098+;pe-ko , (ti)-ri-to , ;2
KN Dv 7124;;1
KN Dv 7140;e-ra , ;1
KN Dv 7142;;1
KN Dv 7152;;1
KN Dv 7167;;1
KN Dv 7176+;ma-we-to , (e)-ko-so , ;2
KN Dv 7181+;qa-na-no-to , ;1
KN Dv 7190+;;1
KN Dv 7195;;1
KN Dv 7202+;;1
KN Dv 7219;;1
KN Dv 7223;(da)-wo , ;1
KN Dv 7240+;ta-ja-no , e-ko , ;2
KN Dv 7246;;1
KN Dv 7262;;1
KN Dv 7617;te-jo , e-(ko)-(so) , ;2
KN Dv 7678;;1
KN Dv 7690;;1
KN Dv 7785;]-si-jo , da-wo , ;2
KN Dv 7863+;wo-ro-(to) , ru-ki-to , ;2
KN Dv 7098+;ta-we-si-jo , ;1
KN Dv 7911;da-ma , ;1
KN Dv 7972;]-ko-(ro) , ;1
KN Dv 8193;su-ti-jo , ;1
KN Dv 8203;ko-so , ;1
KN Dv 8232;;1
KN Dv 8239;;1
KN Dv 8241;we-we-si-(jo) , ;1
KN Dv 8278;(ke)-u , ;1
KN Dv 8280+;qa-mi-ki , ;1
KN Dv 8287;na-no-to , ;1
KN Dv 8288;]-no-u-(ro) , ;1
KN Dv 8289;o-to-(ro) , ;1
KN Dv 8290+;pa-ja-(so) , ra-ja , ;2
KN Dv 8302;]-ri-(jo) , ;1
KN Dv 8332+;;1
KN Dv 8340;;1
KN Dv 8356;;1
KN Dv 8357;ta-u-na-so , (pe)-(ri)-(qo)-(te)-(jo) , ;2
KN Dv 8361;]-(to) , da-wo , ;2
KN Dv 8363;]-(u) , ;1
KN Dv 8366;]-(*56)-wo , su-(ri)-(mo) , ;2
KN Dv 8367;qe-u , ;1
KN Dv 8368;]-ko-so , ;1
KN Dv 8370;]-ko , ;1
KN Dv 8381;;1
KN Dv 8383+;ko-(so) , ra-to , ;2
KN Dv 8384;;1
KN Dv 8391;;1
KN Dv 8392;(e)-(ra) , ;1
KN Dv 8394;(re)-to , ;1
KN Dv 8395;;1
KN Dv 8396;(jo)-te , ;1
KN Dv 8398;(ki)-(to) , ;1
KN Dv 8404;;1
KN Dv 8413;;1
KN Dv 8423;;1
KN Dv 8429;;1
KN Dv 8535;;1
KN Dv 8562+;(ko)-ma-(we)-to , ;1
KN Dv 8585;qa-(na) , ;1
KN Dv 8636;;1
KN Dv 8637;;1
KN Dv 8652;(a)-(ru) , (da)-(*22)-(to) , ;2
KN Dv 8716;(ja)-(se) , ;1
KN Dv 8742;;1
KN Dv 8772;;1
KN Dv 8797;;1
KN Dv 8798;ni-mo , ;1
KN Dv 8816;(pa)-(mo) , ;1
KN Dv 8834;(ta)-jo-jo , ;1
KN Dv 8836;no-to , ;1
KN Dv 9567;;1
KN Dv 9568;pa-(i) , ;1
KN Dv 9569;;1
KN Dv 9570;;1
KN Dv 9586;;1
KN Dv 9587;(da)-nwa , ;1
KN Dv 9588;;1
KN Dv 9590;pu-ko , ;1
KN Dv 9591;pa-(i) , ;1
KN Dv 9593;pa-na , ;1
KN Dv 9594;]-qo , ;1
KN Dv 9595;ra-pa , ;1
KN Dv 9596;so-(mo) , ;1
KN Dv 9599;(ti)-ja , ;1
KN Dv 9600;(we)-ma-na , ;1
KN Dv 9601;]-no-to , ;1
KN Dv 9602;qa-(ra) , ;1
KN Dv 9603;]-ra-to , ;1
KN Dv 9604;;1
KN Dv 9605;tu-ni , ;1
KN E 36;pi-ra-me-no , pa-i-to , ;2
KN E 71;ka-pa , ;1
KN E 132;;1
KN E 165;;1
KN E 288;ra-wa-si-jo , ;1
KN E 668;ru-ki-ti-jo , tu-ri-si-jo , ra-ti-jo , ;3
KN E 669;(ti)-jo , i-jo , da-*22-ti-jo , ;3
KN E 670;(da)-*83-ja-i , ru-ki-ti-jo , o-na-jo , ;3
KN E 749+;qa-ra-jo , ru-ki-ti-jo , ti-ri-ti-jo , (ri)-mi-jo , qa-mi-jo , u-ta-ni-jo , pu-si-jo , ;7
KN E 777;ko-no-si-ja , ki-ri-te-wi-ja-i , a-mi-ni-si-ja , pa-i-ti-ja , ;4
KN E 842;di-wo , te-o-i , me-a-de , me-na , pe-ro2-[ , ki-da-ro , (to)-so , ;7
KN E 843;e-me-si-jo-jo , pa-na-so , ta-ra-qo , ta-u-pa-du-we , a-(ro)-ja , pu-na-so , ;6
KN E 846;ra-wa-e-si-jo , (to)-so , ;2
KN E 847+;no-so , a-no-qo-ta-o , da-na-mo , ;3
KN E 848+;(qa)-sa-ro-we , a-ma , ;2
KN E 849;pu-ta-ri-ja , pe-ra , to-so , ;3
KN E 850;ma-si-jo , a-ma , ;2
KN E 971;to-i-ja , o-pa , ;2
KN E 1035+;a-ta-re-wo , a-ma , ;2
KN E 1569+;do-ti-ja , pe-ma , ra-wa-ke-si-jo , ;3
KN E 1574;;1
KN E 4466;ri-mi-jo , ri-[ , ri-jo , ;3
KN E 5000+;;1
KN E 5556;;1
KN E 7338+;me-si-jo-jo , pa-(na) , ;2
KN E 7339+;pa-(i) , ]-(ma)-(ko)-(ro) , ;2
KN E 7340;;1
KN E 7350;;1
KN E 7354;;1
KN E 8122;e-pi-ke-to , ;1
KN E 8435;;1
KN E 9178;;1
KN E 9295;;1
KN E 9322;;1
KN E 9754;;1
KN E 9840;;1
KN E 9916+;;1
KN F 51;;1
KN F 153+;(a)-(ta)-ti-nu , a-e-da-do-ro , a-me-ja , ;3
KN F 157+;e-ko-so , to-so , ;2
KN F 193+;te-ra-po-ti , ;1
KN F 452;ka-da-ra-so , qa-ka , pu-ri , ]-jo , ;4
KN F 726;wi-jo-jo , e-ra , ;2
KN F 741;]-to , da-*22-to , ]-(ro) , da-*22-to , ]-ri , da-*22-to , ;6
KN F 841+;]-ti-ja , sa-pi-ti-(ne)-we-jo , a-di-*22-sa , (no)-di-mi-zo-jo , pa-i-to , mi-sa-ra-jo , sa-pi-ti-ne-we-jo , su-za , ka-po , e-[ , e-ra-wa , ;11
KN F 844;;1
KN F 845+;a-ma , da-mo , ;2
KN F 851;e-pi-ke-re , a-ma , ;2
KN F 852+;da-wo , a-ma , e-pi-ke-re , ;3
KN F 853+;;1
KN F 854;(na)-(ro) , ]-do-we-i , ma-so-qe , ;3
KN F 866;(ni)-jo , di-ka-ta-de , ma-(sa) , ;3
KN F 5001;;1
KN F 5043;;1
KN F 5079+;ka-ma , di-pa-te , ka-[ , i-je-[ , ka-ma , sa-i-[ , i-je-[ , ;7
KN F 7050+;;1
KN F 7337;;1
KN F 7343;;1
KN F 7345;;1
KN F 7346;;1
KN F 7357;;1
KN F 7359;;1
KN F 7360+;;1
KN F 7362;;1
KN F 7542;;1
KN F 7748+;e-u-ko-me , (pe)-qe-(u) , ;2
KN F 8000;;1
KN F 8139;ja-na-ti , ;1
KN F 8242;(da)-*22-to , *22-to , ;2
KN F 8437;;1
KN F 9110;;1
KN F 9179;;1
KN Fh 339;o-pa-wo-ne-ja , to-qa , ;2
KN Fh 340;ka-ro , a-pu-do-si , ;2
KN Fh 341;pe-da-i-ra , du-ni-ja , ;2
KN Fh 342;a-ne-ra-to , do-re-we , ;2
KN Fh 343;du-pu2-so , zo-a , e-pi-ko-wa , ;3
KN Fh 344;ka-pa-ri-jo-ne , ;1
KN Fh 345;du-ru-po , ;1
KN Fh 346;a3-ki-pa-ta , ;1
KN Fh 347;ma-ro-ne , ku-pi-ri-jo , we-we-(ro) , o-no , a-ri-to-[ , ;5
KN Fh 348;o-no , i-su-ku-wo-do-to , qe-te-o , te-o , ;4
KN Fh 349;ru-ki-to , a-pu-do-si , ;2
KN Fh 350;po-ro-ko-wa , ;1
KN Fh 351;*47-so-de , ;1
KN Fh 352;de-u-jo-i , ;1
KN Fh 353;ra-ma-na-de , de-ma-si , ;2
KN Fh 355;qa-ti-ja , zo-a , ;2
KN Fh 356;o-mi-ri-jo-i , ;1
KN Fh 357;*47-so-de , e-ra-de , ;2
KN Fh 358;to-ro-qa , ;1
KN Fh 359;zo-a , ku-do-ni-ja , e-te-(ja) , ;3
KN Fh 360;ki-ra-*56-so , ma-si-dwo , me-[ , ;3
KN Fh 361+;ku-pi-ri-jo , o-no , zo-a , ;3
KN Fh 362;ne-wo , tu-[ , ;2
KN Fh 364;]-ke , a-ku-tu-ru-wo , u-te-si , ;3
KN Fh 365;*83-ja-de , (da)-so-de , ;2
KN Fh 366;to-so , a-pu-do , ;2
KN Fh 367+;to-so-ku-su-pa , ;1
KN Fh 368+;o-pi , du-ru-po , ;2
KN Fh 369;zo-a , a-ra-si-jo , ;2
KN Fh 370+;ko-no-so , mu-to , de-ka-sa-to , ;3
KN Fh 371+;o-se-ko-do , ku-pi-ri-jo , ;2
KN Fh 372+;ku-pi-ri-jo , o-no , ;2
KN Fh 373+;tu-ni-ja-(de) , ;1
KN Fh;a-pu-(do) , ;1
KN Fh 375;ne-wo , ;1
KN Fh;ro-qa , ;1
KN Fh 377;;1
KN Fh;ma-qa-to , ;1
KN Fh;pu-do-si , ;1
KN Fh 380+;jo-te , zo-a , e-pi-ko-(wa) , ;3
KN Fh;po-ro-ko-wa , ;1
KN Fh;ko-ro-ja-ne , ;1
KN Fh;ku-do , ;1
KN Fh;re-pi-ru-nu-we , ;1
KN Fh;do-ni-ja , ;1
KN Fh 386+;ka-ke-we , ;1
KN Fh;te-o , ;1
KN Fh;tu-ri , ;1
KN Fh;qa-nu-we , ;1
KN Fh;e-ri-nu , ;1
KN Fh;ro-to-qa , ;1
KN Fh;u-ru-pi-ja , ;1
KN Fh 393;*47-so-de , ;1
KN Fh 462+;]-si-ja , a-ri-ja-wo-ne , si-ja , e-to-wo-ko , *47-so-de , ;5
KN Fh 1056;ra-pte-re , ;1
KN Fh 1057;*56-i-ti , ;1
KN Fh 1059;wi-na-jo , e-ra-jo , ;2
KN Fh 2013;(ja)-[ , ]-jo , pe-da , i-je-[ , ;4
KN Fh 2014+;;1
KN Fh 5426+;ku-pi-ri-jo , ma-ro-ne , ;2
KN Fh 5428+;wi-ri-ne-we , ;1
KN Fh 5429;wa-po , ;1
KN Fh 5430;*47-so-(de) , ;1
KN Fh 5431+;o-na , de-(mi)-(ni)-jo , ;2
KN Fh 5432+;]-pte-si , ]-u-pi-ri-[ , ]-(i) , ;3
KN Fh 5434+;a-pu-do-si , ;1
KN Fh 5435+;wi-ri-ne-we , ;1
KN Fh 5436+;]-de , zo-a , ;2
KN Fh 5437;;1
KN Fh 5442;mi-ni-(si) , ;1
KN Fh 5443+;ro-ru , ;1
KN Fh 5444;a-pu-do , ;1
KN Fh 5446;ku-pi-ri-jo , u-ne , to-ro-qo , a-nu-[ , ;4
KN Fh 5447+;]-ki-ro , ku-pi-ri-jo , o-no , ;3
KN Fh 5450;me-no , ;1
KN Fh 5451 + 5496;za-we-te , a-mi-ni-si-ja , a-pu-do-(si) , ;3
KN Fh 5453;ko-[ , zo-a , a-[ , ;3
KN Fh 5455;;1
KN Fh 5456;ta-nu-[ , ;1
KN Fh 5457;;1
KN Fh 5458;;1
KN Fh 5459+;(pu)-(do)-(si) , ;1
KN Fh 5463;qa-to-no-(ro) , ;1
KN Fh 5465+;ko-ki-de-jo , ;1
KN Fh 5467;di-ka-ta-de , i-je-[ , ;2
KN Fh 5471;(si)-na-jo , ]-ni-ja-mo , ;2
KN Fh 5475;qe-ra-si-[ , ;1
KN Fh 5477;(ra)-u-to , ;1
KN Fh 5479;*47-so-de , wa-u-so , ;2
KN Fh 5481;;1
KN Fh 5483;;1
KN Fh 5486;(ko)-pe-re-we , ;1
KN Fh 5487;*56-(i)-ti-(je) , ;1
KN Fh 5490;ku-pi-(ri) , ;1
KN Fh 5493;;1
KN Fh 5494;;1
KN Fh 5497;to-ro-qa , ;1
KN Fh 5498;ru-do-ro-(i) , ;1
KN Fh 5501;*47-so-de , ;1
KN Fh 5502;ku-ru-me-ne-jo , de-u-(ki)-(jo) , ;2
KN Fh 5503;;1
KN Fh 5505;me-ra-de , ;1
KN Fh 5506;]-ra-de , ne-wo-jo , ;2
KN Fh 6001;wa-ja , qa-(sa) , ;2
KN Fh 7336;;1
KN Fh 8299;]-(qo)-ta , to-qa , ;2
KN Fh 8436;;1
KN Fh 8740;;1
KN Fh 8802;;1
KN Fh 9008;;1
KN Fh 9043;;1
KN Fh 9062;;1
KN Fh 9063+;ni-ja , ;1
KN Fh 9064;]-so-de , ;1
KN Fh 9066;;1
KN Fh 9067;*83-ja-de , ;1
KN Fh 9068;(ne)-[ , ;1
KN Fh 9070;(a)-(pa)-to-re , ;1
KN Fh 9071;;1
KN Fh 9072;ru-ki , ;1
KN Fh 9074;(wa)-(te) , ;1
KN Fh 9076;(je)-(we) , ;1
KN Fh 9077;*56-ti , ;1
KN Fh 9079;;1
KN Fh 9080;;1
KN Fh 9094;;1
KN Fh 9097;(a3)-(mi) , ;1
KN Fh 9098;;1
KN Fh 9099;;1
KN Fh 9100;(ja)-[ , ;1
KN Fh 9101;(wi)-[ , ;1
KN Fp 1+;de-u-ki-jo-jo , me-no , di-ka-ta-jo , di-we , da-da-re-jo-de , pa-de , pa-si-te-o-i , qe-ra-si-ja , a-mi-ni-so , pa-si-te-o-i , e-ri-nu , *47-da-de , a-ne-mo , i-je-re-ja , to-so , ;15
KN Fp 5;di-wi-jo-jo , me-no , qe-ra-si-ja , pa-si-te-o-i , ;4
KN Fp 6;ka-ra-e-ri-jo , pa-si-te-o-i , qe-ra-si-ja , ;3
KN Fp 7;ka-ra-e-ri-jo , me-no , di-ka-ta-de , ;3
KN Fp 13;;1
KN Fp 14+;me-no , a-ma-ko-to , jo-te-re-pa-to , e-ke-se-si , qe-ra-si-ja , a-mi-ni-so-de , pa-si-te-o-i , a-re , ;8
KN Fp 15;ka-ra-e-ri-jo , me-no , *56-ti , pa-si-te-o-i , ;4
KN Fp 16;wo-de-wi-jo , me-no , pa-si-te-o-i , qe-ra-si-jo , ;4
KN Fp 18;]-jo-de , ka-ra-e-ri-jo , pa-si-te-o-i , ;3
KN Fp 30;to-so-[ , ;1
KN Fp 48;wo-de-wi-jo , me-no , si-ja-ma-to , pa-de , qe-ra-si-ja , pa-si-te-o-i , a-mi-ni-so-de , pa-si-te-o-i , ;8
KN Fp 354;ka-ra-e-i-jo , pa-ja-ni-jo , ;2
KN Fp 363;qe-te-a , te-re-no , da-*83-ja-de , i-je-to , ki-ri-te-wi-ja , di-wo-pu-ka-ta , ;6
KN Fp 5472+;ku-pi-ri-jo , su-ko-ne , si-ja-(ma) , ;3
KN Fp 5504;a-ka-ta-ra-te-so-de , ;1
KN Fp 7707+;;1
KN Fs 2;sa-na-to-de , ;1
KN Fs 3;a-*65-ma-na-ke , me-na , ;2
KN Fs 4;a-ro-do-ro-o , wa-(ke)-ta , ;2
KN Fs 8;pa-de , ;1
KN Fs 9;ki-to , o-ja-de , ;2
KN Fs 11;qe-sa-ma-qa , ta-mi-te-mo , ;2
KN Fs 12;;1
KN Fs 17;;1
KN Fs 19;e-ti-wa , ;1
KN Fs 20;(a)-*65-ma , ;1
KN Fs 21;ka-u-da , ;1
KN Fs 22;(na)-to-de , ;1
KN Fs 23;ja-pe-re-so , ;1
KN Fs 24;;1
KN Fs 25;;1
KN Fs 26;ki-ri-jo-de , ;1
KN Fs 29;;1
KN Fs;da-da-re , ;1
KN G 760;ni-ja-we-jo , ;1
KN G 820;]-(na) , e-ko-si , a-pi , ku-do-ni-ja , pa-sa , ki-ri-ta , pu2-wi-ja-qe , *56-ko-we-i-ja-qe , *22-ti-ja , ku-ta-ti-ja-qe , po-ti-ni-ja-we-ja , a-pu , ke-u-po-de-ja , ;13
KN G 5528;;1
KN G 7352;;1
KN G 7355;;1
KN G 7509+;di-ka-ta-de , ;1
KN G 7525;;1
KN Ga <34>;pu-na-si-jo , ti-mi-(nu)-(wo) , ;2
KN Ga 415;ru-ki-ti-jo , ko-ri-ja-do-no , ;2
KN Ga 416;a-ka-re-u , pa-i-to , ;2
KN Ga 417;po-ni-ki-jo , qa-mo , ko-ri-ja-do-no , ;3
KN Ga 418;su-ri-mi-jo , po-ni-ki-jo , ko-ri-ja-do-no , ;3
KN Ga 419+;a3-ta-jo , ku-ta-ti-jo , ri-wi-so , ko-ri , tu-to , ku-ta-ti-jo , ;6
KN Ga 420;po-ni-ki-jo , pu-na-si-jo , ;2
KN Ga 421;a-pu-do-si , ko-ri-ja-do-no , (ti)-jo , ;3
KN Ga 422;ko-ri-ja-do-no , ;1
KN Ga 423+;po-ni-(ki) , qa-ra-jo , ko-ri-ja-do-no , ;3
KN Ga 424;po-(ni)-ki-jo , *56-ko-we-i-jo , a-pu-do-si , ;3
KN Ga 425;pa-ra-u-jo , a-pu-do-si , po-ni-ki-jo , ;3
KN Ga 426;po-ni-ki-jo , du-ni-jo , ;2
KN Ga 427+;da-wi-jo , a-pu-do-si , po-ni-ki-jo , di-ta-ka-so , e-pu2-no , po-ni-ki-jo , ;6
KN Ga 428;ti-ri-ti , ;1
KN Ga 454;ku-ta-to , ku-pa , ;2
KN Ga 456;pa-de , (wa)-du-ri , ;2
